timestamp,symbol,open,high,low,close,volume
1752480000000,GOOG,180.77,180.9,180.71,180.77,2779
1752480060000,GOOG,180.76,180.76,180.63,180.63,1848
1752480120000,GOOG,180.71,180.72,180.65,180.69,1254
1752480180000,GOOG,180.66,180.66,180.5,180.5,3444
1752480240000,GOOG,180.55,180.56,180.49,180.49,1771
1752480300000,GOOG,180.48,180.48,180.48,180.48,539
1752480360000,GOOG,180.3,180.3,180.3,180.3,487
1752480480000,GOOG,180.33,180.33,180.3,180.3,1079
1752480540000,GOOG,180.22,180.22,180.22,180.22,488
1752480660000,GOOG,180.33,180.33,180.33,180.33,268
1752480780000,GOOG,180.42,180.42,180.42,180.42,298
1752480840000,GOOG,180.45,180.45,180.45,180.45,672
1752480900000,GOOG,180.54,180.54,180.54,180.54,515
1752480960000,GOOG,180.48,180.48,180.48,180.48,394
1752481020000,GOOG,180.48,180.48,180.48,180.48,695
1752481080000,GOOG,180.54,180.55,180.54,180.55,522
1752482580000,GOOG,180.39,180.39,180.39,180.39,441
1752482640000,GOOG,180.4,180.4,180.4,180.4,331
1752483180000,GOOG,180.45,180.47,180.45,180.47,556
1752483240000,GOOG,180.49,180.56,180.49,180.56,1602
1752483360000,GOOG,180.53,180.53,180.53,180.53,100
1752483480000,GOOG,180.5,180.5,180.49,180.49,682
1752483840000,GOOG,180.42,180.42,180.42,180.42,103
1752484380000,GOOG,180.45,180.45,180.45,180.45,632
1752484560000,GOOG,180.42,180.42,180.38,180.38,741
1752484800000,GOOG,180.42,180.42,180.42,180.42,232
1752484860000,GOOG,180.45,180.45,180.45,180.45,137
1752485220000,GOOG,180.44,180.44,180.38,180.38,1412
1752486060000,GOOG,180.41,180.42,180.4,180.4,1079
1752486660000,GOOG,180.47,180.52,180.47,180.52,723
1752487140000,GOOG,180.5,180.5,180.5,180.5,548
1752487320000,GOOG,180.43,180.43,180.4,180.4,1634
1752487440000,GOOG,180.42,180.42,180.42,180.42,121
1752487620000,GOOG,180.36,180.36,180.36,180.36,213
1752487680000,GOOG,180.34,180.34,180.34,180.34,268
1752487920000,GOOG,180.32,180.32,180.22,180.25,743
1752488280000,GOOG,180.37,180.37,180.37,180.37,101
1752488520000,GOOG,180.29,180.29,180.29,180.29,190
1752488700000,GOOG,180.34,180.42,180.34,180.42,550
1752489060000,GOOG,180.4,180.4,180.4,180.4,505
1752489180000,GOOG,180.34,180.34,180.29,180.29,629
1752489300000,GOOG,180.28,180.28,180.28,180.28,140
1752489660000,GOOG,180.35,180.35,180.35,180.35,443
1752490200000,GOOG,180.24,180.25,180.23,180.23,1048
1752490800000,GOOG,180.3,180.32,180.3,180.3,894
1752491100000,GOOG,180.35,180.36,180.35,180.35,949
1752491160000,GOOG,180.3,180.3,180.3,180.3,191
1752491220000,GOOG,180.26,180.26,180.25,180.25,2899
1752491400000,GOOG,180.37,180.4,180.37,180.4,1476
1752491460000,GOOG,180.43,180.43,180.4,180.4,739
1752491520000,GOOG,180.44,180.44,180.44,180.44,377
1752491580000,GOOG,180.4,180.4,180.4,180.4,923
1752491700000,GOOG,180.3,180.3,180.3,180.3,704
