timestamp,symbol,open,high,low,close,volume
1752480000000,MSFT,500.5,500.5,500.5,500.5,4170
1752480120000,MSFT,501.5,501.5,501.5,501.5,1139
1752480360000,MSFT,501.49,501.49,501.3,501.3,895
1752480420000,MSFT,501.15,501.15,501.15,501.15,341
1752480600000,MSFT,501.2,501.2,501.1,501.1,235
1752480660000,MSFT,501.1,501.1,501.09,501.09,949
1752480960000,MSFT,501.09,501.09,501.09,501.09,480
1752481380000,MSFT,501,501,501,501,650
1752481560000,MSFT,500.8,500.8,500.8,500.8,352
1752482520000,MSFT,501.15,501.15,501.15,501.15,428
1752482580000,MSFT,501.3,501.3,501.3,501.3,743
1752482640000,MSFT,501.38,501.38,501.38,501.38,801
1752483720000,MSFT,501.44,501.44,501.44,501.44,848
1752484200000,MSFT,501.28,501.28,501.28,501.28,1179
1752484500000,MSFT,501.32,501.32,501.32,501.32,245
1752484740000,MSFT,501.25,501.25,501.25,501.25,519
1752485040000,MSFT,501.07,501.07,501.07,501.07,1858
1752486900000,MSFT,501.01,501.01,501.01,501.01,232
1752487020000,MSFT,501.01,501.01,501.01,501.01,967
1752487380000,MSFT,501,501,501,501,2725
1752487440000,MSFT,500.89,500.89,500.89,500.89,481
1752490560000,MSFT,501.41,501.41,501.41,501.41,1307
1752491220000,MSFT,501.21,501.21,501.02,501.02,1309
1752491640000,MSFT,501.4,501.48,501.4,501.48,308
1752491820000,MSFT,501.15,501.15,501.15,501.15,1145
1752492120000,MSFT,501.05,501.05,501.05,501.05,281
1752492180000,MSFT,501.05,501.12,501.05,501.12,699
1752492720000,MSFT,501.2,501.2,501.2,501.2,221
1752492900000,MSFT,501.05,501.05,501.05,501.05,217
1752493380000,MSFT,501.39,501.39,501.39,501.39,396
1752493500000,MSFT,501.27,501.27,501.27,501.27,499
1752493560000,MSFT,501.16,501.16,501.16,501.16,1345
1752493800000,MSFT,501.7,501.7,501.7,501.7,1394
1752494100000,MSFT,501.45,501.45,501.45,501.45,189
1752494400000,MSFT,501.55,502,500.01,500.68,13745
1752494460000,MSFT,502.062,502.062,501.03,501.03,2432
1752494580000,MSFT,501.02,501.02,501.02,501.02,732
1752494640000,MSFT,501.1,501.1,501.02,501.02,548
1752494820000,MSFT,501.06,501.06,501.06,501.06,236
1752495060000,MSFT,501.13,501.13,501.13,501.13,212
1752495180000,MSFT,501.25,501.25,501.25,501.25,405
1752495360000,MSFT,501.4,501.4,501.4,501.4,138
1752495480000,MSFT,501.5,501.5,501.5,501.5,1217
1752495900000,MSFT,501.42,501.48,501.42,501.48,544
