latency_ns
7082
5647
8056
5064
18721
6936
22344
4350
6878
4382
4161
6110
12196
7220
14714
11326
7837
7108
4935
4534
8760
6441
8699
33626
8650
5531
8957
7631
8852
6716
8255
6621
6370
8648
4968
6570
11973
8108
8869
6789
10226
4235
4565
9134
11961
8001
8728
4742
25202
5897
5922
10838
9355
11032
9944
14595
5615
24455
6515
12757
5171
8098
5906
5949
7083
7219
6524
7722
7563
6089
10417
5111
4154
5241
6862
5495
3969
4631
5802
6692
6986
11851
18912
7448
5959
11168
7344
5747
9181
11664
8206
5951
7113
7076
10824
8005
6564
7610
7763
10360
6820
7526
6501
43511
7318
11082
9118
6795
4901
6116
4500
7617
10190
6709
8170
8080
24584
6999
5872
8799
6720
9620
10875
7037
6379
6262
6511
10351
23614
5569
7493
7534
9062
8912
15733
7157
6679
9406
5746
10368
6186
8826
7429
14484
7682
11535
5668
6285
10424
9463
6526
7266
6134
7834
7889
4424
8931
11624
6395
10193
5994
5709
6886
7601
7390
5958
40547
9002
12055
10207
15051
10405
9979
7608
9388
8669
9347
10715
10472
6608
8728
9084
6966
7413
7736
8785
8543
5754
7754
5996
6654
9792
10428
8428
11556
6652
5646
8459
5197
6513
6513
9182
5620
14678
7225
7726
7793
6688
9375
8126
5716
71991
8064
10741
11715
8586
11641
10897
12170
8352
8907
6916
8258
6210
6762
6366
11920
8760
6771
8976
11607
5161
14237
11773
9809
7476
28187
6448
8184
7060
7107
11552
12501
6129
8193
10539
9419
10911
8813
10056
10920
12385
10421
9700
15372
8543
34854
8098
11094
8022
7040
12390
6982
9244
9985
5995
7223
7336
10200
9698
10155
46777
5935
7799
9375
8329
7308
11229
8810
8919
5988
5810
6578
6949
15245
7925
6328
7599
28475
9037
8634
11374
5465
9947
6303
6448
7848
13825
7553
14942
5983
8142
13610
7876
6727
8911
5859
8638
11522
5308
9415
4667
9026
6025
7056
7522
10337
8769
6389
7440
6481
6845
7222
8357
7369
8373
9979
6532
27088
12871
10014
12102
10385
6635
9139
9179
7184
11065
7413
8058
14605
10403
9002
10596
8488
13236
9121
7850
12138
11787
